,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,cluster
649,2016,2,4,-8.085454941,107.4051971,54.0,3.951361144666667,Afternoon,Great,Shallow,7
651,2016,2,4,-8.302459717,107.4052277,10.0,3.839794165,Afternoon,Minor,Shallow,7
652,2016,2,4,-8.313760757,107.3353195,25.0,4.561512616,Afternoon,Light,Shallow,7
653,2016,2,4,-8.348209381,107.3296204,10.0,3.656028367,Afternoon,Minor,Shallow,7
654,2016,2,4,-8.318825722,107.3640289,10.0,4.233954591,Afternoon,Light,Shallow,7
656,2016,2,4,-8.293146133,107.3527451,10.0,3.501461623,Afternoon,Minor,Shallow,7
665,2016,2,4,-7.12084198,105.1606979,10.0,4.726683431,Morning,Light,Shallow,-1
668,2016,2,4,-7.263482571,107.60849,10.0,3.745755704,Afternoon,Minor,Shallow,9
673,2016,2,4,-7.341451168,107.5620117,10.0,3.822488446,Evening,Minor,Shallow,0
683,2016,2,4,-7.186225414,105.4134216,16.0,4.231765301,Evening,Light,Shallow,1
684,2016,2,4,-7.612118244,106.3386688,50.0,4.72503173,Night,Light,Shallow,-1
689,2016,2,4,-7.795916557,106.8707809,18.0,4.111225557,Dawn,Light,Shallow,14
690,2016,2,4,-7.787708759,106.8414688,23.0,4.101645888,Dawn,Light,Shallow,14
691,2016,2,4,-8.169332504,107.9030762,18.0,3.725752439,Afternoon,Minor,Shallow,2
693,2016,2,4,-7.481042385,106.7079544,11.0,3.514609138,Afternoon,Minor,Shallow,6
695,2016,2,4,-8.986679077,112.0720062,11.0,3.802227285,Morning,Minor,Shallow,-1
696,2016,2,4,-7.150815487,105.9810333,21.0,4.567938968,Afternoon,Light,Shallow,3
701,2016,2,4,-7.665726662,111.9638138,26.0,3.515935948,Morning,Minor,Shallow,-1
706,2016,2,5,-7.703094006,107.0675507,50.0,3.510413762,Night,Minor,Shallow,-1
707,2016,2,5,-7.931322098,106.5592117,26.0,3.95654046,Afternoon,Minor,Shallow,6
711,2016,2,5,-8.40176487,108.9961929,27.0,4.537639996,Afternoon,Light,Shallow,13
713,2016,2,5,-8.245541573,107.2753525,11.0,3.648648677,Dawn,Minor,Shallow,7
720,2016,2,5,-8.08982563,107.9039536,10.0,4.016657562,Night,Light,Shallow,2
723,2016,2,5,-8.370420456,110.2592926,11.0,3.982287785,Afternoon,Minor,Shallow,-1
728,2016,2,5,-8.047722816,107.0601425,18.0,3.698205554,Morning,Minor,Shallow,14
736,2016,2,6,-7.374263763,105.2961578,17.0,3.927495469,Afternoon,Minor,Shallow,1
737,2016,2,6,-8.209499359,107.6382675,19.0,4.822406452,Afternoon,Light,Shallow,18
741,2016,2,6,-7.594808102,106.7443924,27.0,4.15081684,Morning,Light,Shallow,6
742,2016,2,6,-7.161700726,105.378067,11.0,3.514639748,Evening,Minor,Shallow,1
743,2016,2,6,-8.070752144,107.8607178,22.0,3.622299606,Dawn,Minor,Shallow,2
746,2016,2,6,-7.046505451,105.6032639,48.0,4.141440163,Evening,Light,Shallow,20
747,2016,2,6,-7.701561451,106.444519,25.0,3.672948932,Evening,Minor,Shallow,6
748,2016,2,6,-8.161566734,107.9013214,18.0,4.510364304,Afternoon,Light,Shallow,2
751,2016,2,6,-8.198000908,107.619751,10.0,4.252310032,Night,Light,Shallow,18
758,2016,3,7,-8.981309891,107.7391129,28.0,3.70764153,Morning,Minor,Shallow,-1
759,2016,3,7,-8.201514244,108.2438202,33.0,4.689775658,Afternoon,Light,Shallow,17
760,2016,3,7,-7.61146307,109.8670959,10.0,3.65427613,Afternoon,Minor,Shallow,-1
761,2016,3,7,-8.369547844,109.0292053,53.0,4.601751171,Afternoon,Light,Shallow,13
762,2016,3,7,-8.39385128,111.7469177,10.0,3.731619761,Evening,Minor,Shallow,-1
764,2016,3,7,-8.898771286,112.4880066,43.0,4.033637116,Evening,Light,Shallow,8
765,2016,3,7,-7.63727808,109.8862686,12.0,3.842443158,Evening,Minor,Shallow,-1
766,2016,3,7,-6.424478054,111.1003036,10.0,3.797281465,Afternoon,Minor,Shallow,-1
767,2016,3,7,-6.402609348,111.1275253,10.0,3.824144126,Afternoon,Minor,Shallow,-1
772,2016,3,7,-7.870535851,105.9268188,10.0,3.964176211,Morning,Minor,Shallow,3
773,2016,3,7,-7.65357542,106.1163101,10.0,3.507588112,Morning,Minor,Shallow,3
774,2016,3,7,-8.898785591,111.1408463,60.0,3.705177429,Evening,Minor,Shallow,16
775,2016,3,7,-8.173811913,107.8383255,10.0,3.680130742,Night,Minor,Shallow,2
777,2016,3,7,-7.67482996,106.0497818,10.0,3.635753771,Evening,Minor,Shallow,3
778,2016,3,7,-7.796844959,106.0010986,30.0,3.94336325,Evening,Minor,Shallow,3
780,2016,3,7,-8.166278839,107.8922577,41.0,4.595598411,Dawn,Light,Shallow,2
781,2016,3,8,-8.080890656,107.9085388,10.0,3.72216845,Morning,Minor,Shallow,2
782,2016,3,8,-8.831594467,112.089241,33.0,3.883182328,Evening,Minor,Shallow,-1
786,2016,3,8,-8.147371292,107.0696793,12.0,3.545457062,Dawn,Minor,Shallow,14
789,2016,3,8,-8.139340401,107.8406906,24.0,3.858173187,Afternoon,Minor,Shallow,2
792,2016,3,8,-8.282083511,108.988472,49.0,3.748615154,Night,Minor,Shallow,13
793,2016,3,8,-8.4141,109.2443,63.0,4.85,Afternoon,Light,Shallow,15
794,2016,3,8,-8.4865,110.2691,14.0,3.93,Afternoon,Minor,Shallow,-1
797,2016,3,8,-8.817625046,109.8411713,10.0,3.64804466,Morning,Minor,Shallow,-1
798,2016,3,8,-8.951705933,110.4848251,10.0,3.808176482,Afternoon,Minor,Shallow,22
800,2016,3,8,-8.949097633,111.0805359,13.0,4.621092647,Morning,Light,Shallow,16
801,2016,3,8,-7.409049034,106.0971603,25.0,3.973336371,Afternoon,Minor,Shallow,3
802,2016,3,8,-8.457912445,108.4608841,20.0,3.96748186,Evening,Minor,Shallow,10
804,2016,3,8,-7.719969273,105.8643265,10.0,4.438691273,Afternoon,Light,Shallow,3
809,2016,3,9,-7.440802097,105.8674011,10.0,3.614333994,Afternoon,Minor,Shallow,3
812,2016,3,9,-8.279267311,107.3267136,10.0,3.802369144,Evening,Minor,Shallow,7
813,2016,3,9,-6.74067831,106.6258469,26.0,3.727218228,Morning,Minor,Shallow,23
814,2016,3,9,-8.122343063,107.1963654,20.0,4.132484644,Night,Light,Shallow,7
815,2016,3,9,-7.0467906,106.0592041,11.0,3.592496964,Afternoon,Minor,Shallow,3
817,2016,3,9,-7.535419941,106.9235458,63.0,3.727524186,Afternoon,Minor,Shallow,-1
819,2016,3,9,-8.149307251,107.9124756,22.0,3.596782979,Afternoon,Minor,Shallow,2
820,2016,3,9,-8.926730156,112.4490662,67.0,4.568385351,Dawn,Light,Shallow,8
824,2016,3,9,-8.991597176,111.495903,23.0,4.909455781,Evening,Light,Shallow,-1
825,2016,3,9,-8.931612015,111.5351868,17.0,3.508980135,Evening,Minor,Shallow,16
827,2016,3,9,-7.477340698,106.0710754,38.0,3.526679521,Morning,Minor,Shallow,3
828,2016,3,9,-8.814821243,112.4746552,49.0,3.890137178,Afternoon,Minor,Shallow,8
831,2016,3,9,-7.762136459,106.9039612,20.0,4.026031883,Afternoon,Light,Shallow,14
835,2016,4,10,-8.197849274,107.9050522,10.0,3.585026229,Night,Minor,Shallow,2
843,2016,4,10,-8.800548553,111.2872238,37.0,4.443688391,Dawn,Light,Shallow,16
844,2016,4,10,-7.601632595,105.9317017,18.0,3.876760052,Afternoon,Minor,Shallow,3
846,2016,4,10,-7.652997494,106.2307663,17.0,3.877220538,Morning,Minor,Shallow,-1
851,2016,4,10,-8.238911629,107.4247894,52.0,4.964210712,Evening,Light,Shallow,7
852,2016,4,10,-7.931535721,107.0712204,19.0,4.776128251,Dawn,Light,Shallow,14
856,2016,4,10,-8.999601364,111.5044632,40.0,4.407803806,Night,Light,Shallow,-1
858,2016,4,11,-7.482678413,111.3128662,20.0,4.341731428,Dawn,Light,Shallow,-1
860,2016,4,11,-7.296852112,107.5448532,2.0,3.987367271,Evening,Minor,Shallow,0
861,2016,4,11,-8.207525253,107.2724533,10.0,3.736124991,Evening,Minor,Shallow,7
862,2016,4,11,-7.819119453,106.5487213,10.0,3.897340112,Evening,Minor,Shallow,6
863,2016,4,11,-7.389848709,106.1405411,23.0,4.411368069,Dawn,Light,Shallow,3
868,2016,4,11,-8.913906097,110.5237503,19.0,4.62739926,Night,Light,Shallow,22
871,2016,4,11,-8.136590004,107.9014435,24.0,4.760650195,Evening,Light,Shallow,2
876,2016,4,12,-8.396489143,111.7625275,10.0,4.142539298,Dawn,Light,Shallow,-1
881,2016,4,12,-8.178524971,107.8884354,51.0,4.321640325,Afternoon,Light,Shallow,2
