longitude,latitude,magnitude,depth,year,area,cluster
107.0920334,-7.884888649,3.515219742,10.0,2020,8,15
108.9108658,-8.581116676,4.205235589,10.0,2020,6,14
106.7971344,-6.886469364,4.304783983,10.0,2020,5,-1
110.3358994,-8.851180077,4.061028338,10.0,2020,0,12
110.5182724,-8.587622643,4.306491637,28.0,2020,21,-1
110.5367355,-8.948928833,3.725469569,10.0,2020,0,22
106.3957977,-7.759848595,4.964133431,21.0,2020,11,7
111.3944397,-8.928640366,4.567853646,10.0,2020,7,16
108.6934052,-8.533037186,3.870451863,10.0,2020,6,11
107.5444641,-5.218909264,5.262605072,10.0,2020,13,-1
109.926857,-8.78748703,3.543472094,10.0,2020,0,-1
107.4204788,-7.5702672,4.679773283,10.0,2020,15,-1
108.7634048,-7.097017765,3.80086241,2.0,2020,23,-1
105.8440628,-7.964900494,3.565671614,10.0,2020,1,-1
106.1253967,-7.567948341,3.725749261,16.0,2020,1,-1
108.9594498,-8.484276772,3.645827834,18.0,2020,6,14
107.360466,-8.159039497,3.623871185,10.0,2020,2,8
112.2849197,-6.150683403,5.122016758,10.0,2020,12,-1
113.3467865,-8.48184967,3.720717383,10.0,2020,3,-1
108.3094025,-8.923006058,5.914603025,10.0,2021,14,-1
108.9693298,-8.41387558,3.570830873,25.0,2021,6,14
106.172966,-7.264853954,3.897893403,26.0,2021,9,4
111.1871567,-8.877291679,3.674752261,24.0,2021,7,16
110.3117447,-8.79057312,4.773722374,10.0,2021,0,12
106.1098633,-7.757923603,3.802854231,10.0,2021,1,4
110.1928329,-7.98836565,4.43328875,10.0,2021,10,-1
107.9126282,-8.087351799,3.805681259,13.0,2021,20,2
109.9725189,-6.749794006,5.469357966,10.0,2021,4,-1
109.4531555,-7.558031559,3.667473315,12.0,2021,10,-1
108.689682,-8.548587799,4.513273842,44.0,2021,6,11
112.9533691,-8.974167824,3.857904601,17.0,2021,3,27
107.8369064,-8.112164497,3.562495519,27.0,2021,20,2
107.2626953,-7.833529472,3.550335106,27.0,2021,8,5
110.9494553,-8.785369873,4.060598746,38.0,2021,7,19
105.9126663,-7.869260311,3.684205266,14.0,2021,1,4
107.3613205,-8.06063652,3.772403585,21.0,2021,2,8
107.8921432,-8.121813774,4.037996024,14.0,2021,20,2
108.9497147,-8.428756714,4.271714597,67.0,2021,6,14
107.1495438,-8.21988678,4.5538211,52.0,2021,2,8
106.9315338,-7.707830906,3.555293209,10.0,2021,11,15
109.2456665,-8.488918304,3.6529128,30.0,2021,6,3
108.9063568,-6.941839218,4.622495547,62.0,2021,23,-1
107.896965,-8.116477966,3.716975676,17.0,2021,20,2
106.5592499,-7.602602005,4.880753168,27.0,2021,11,7
110.28125,-8.755594254,4.802818062,10.0,2021,0,12
107.3197327,-8.172685623,3.789045271,10.0,2021,2,8
105.9260406,-7.187870979,4.325579688,10.0,2021,9,4
106.9568405,-7.956607342,3.568639966,10.0,2021,8,15
107.6024017,-8.394449234,4.363254205,10.0,2021,2,28
105.5314102,-7.186745644,3.67801886,10.0,2021,16,1
107.9968262,-8.532595634,4.043771624,48.0,2021,22,-1
107.895256,-8.132655144,3.625012381,18.0,2021,20,2
111.9203262,-8.400178909,5.203889352,10.0,2021,21,-1
108.782547,-7.224495411,5.531612651,10.0,2021,23,-1
111.8503571,-6.038868904,5.527386963,10.0,2021,12,-1
110.9340363,-8.893630028,3.788917626,10.0,2021,7,19
105.8816376,-7.151369572,3.775248357,22.0,2021,9,4
112.0844269,-6.782288551,5.61888817,10.0,2021,12,-1
110.1414261,-8.799720764,3.726558178,10.0,2021,0,-1
110.2932358,-8.806711197,4.018349484,30.0,2021,0,12
110.2327118,-8.978560448,3.740018708,57.0,2021,0,12
109.8646545,-6.771179676,4.902647079,10.0,2021,4,-1
111.1732712,-6.423079491,5.286002875,10.0,2021,4,-1
106.8790436,-7.733281136,4.246820242,30.0,2021,11,15
106.528183,-7.64652729,4.356409868,43.0,2021,11,7
107.0117416,-7.922195911,3.829523343,10.0,2021,8,15
109.2540665,-6.079064369,4.838821324,10.0,2021,19,-1
107.022377,-7.935760498,3.619012695,13.0,2021,8,15
113.52034,-8.905331612,4.754831628,36.0,2021,3,-1
110.4729614,-7.673045635,5.263208904,10.0,2021,10,-1
108.1604996,-8.237541199,3.782100613,28.0,2021,20,17
111.2717667,-8.977820396,3.945605395,10.0,2021,7,16
107.958313,-5.295640469,4.703144721,10.0,2021,13,-1
112.46492,-8.897109985,3.769473947,37.0,2021,3,9
112.4799576,-8.927929878,3.53784401,33.0,2021,3,9
112.4526291,-8.933433533,4.274949119,33.0,2021,3,9
112.4390411,-8.934886932,3.712994402,34.0,2021,3,9
112.5014191,-8.928380013,3.504548183,38.0,2021,3,9
105.9011459,-7.350904942,4.492675232,37.0,2021,9,4
110.6307068,-8.561991692,3.594031509,10.0,2021,21,-1
110.6473999,-8.598273277,4.515818921,10.0,2021,21,-1
111.8498001,-7.209053516,5.633583364,10.0,2021,18,-1
108.5393448,-8.523156166,4.049178144,10.0,2021,22,11
109.1805725,-7.939796448,5.658052328,10.0,2021,6,-1
107.6332092,-8.049396515,4.142085248,48.0,2021,20,-1
106.5730515,-7.749344826,3.934362759,20.0,2021,11,7
110.7042084,-8.964690208,3.973826912,10.0,2021,0,-1
107.7963104,-6.639094353,5.1733021,2.0,2021,19,-1
107.6848679,-6.25551939,4.911961324,10.0,2021,19,-1
107.6679688,-7.270246983,3.665925849,5.0,2021,15,10
112.4525223,-8.900462151,3.567409184,39.0,2021,3,9
107.3609085,-7.725667477,3.507646803,17.0,2021,8,-1
110.2762299,-8.747319221,4.872104444,10.0,2021,0,12
106.8945084,-7.779696941,4.906409041,29.0,2021,11,15
106.9289551,-7.796095848,3.845013359,10.0,2021,8,15
110.4421692,-8.426208496,5.510519856,65.0,2021,21,-1
106.8880615,-7.35525322,5.204909772,10.0,2021,15,-1
106.1070786,-7.647629261,4.75245538,10.0,2021,1,4
106.8115921,-7.82110405,3.882321028,10.0,2021,11,15
105.8577499,-7.513571739,3.553631927,10.0,2021,1,4
107.2626495,-7.822520733,4.273659014,23.0,2021,8,5
110.0110779,-8.688739777,3.67085332,10.0,2021,17,-1
107.8834457,-8.050543785,3.561448465,22.0,2021,20,2
107.9085312,-8.137069702,3.679790822,17.0,2021,20,2
107.198288,-8.219309807,4.729012029,10.0,2021,2,8
106.4103394,-7.522404671,4.406333995,67.0,2021,11,-1
105.4553986,-7.006548405,3.618126506,15.0,2021,16,1
105.7282181,-7.703330994,3.922302321,28.0,2021,1,-1
106.6814423,-7.627161026,4.060972308,25.0,2021,11,7
112.4657516,-8.910617828,3.971945761,37.0,2021,3,9
105.8674698,-7.391205788,4.358454968,39.0,2021,9,4
107.0338898,-7.917224407,4.817662376,10.0,2021,8,15
107.8950348,-8.128570557,3.506293558,18.0,2021,20,2
107.3278122,-8.014821053,3.926206573,13.0,2021,8,8
113.2989349,-7.603517056,4.659686901,10.0,2021,18,-1
107.2316437,-8.119419098,3.843150149,10.0,2021,2,8
110.8928375,-8.880999565,4.065448897,10.0,2021,7,19
107.9047546,-8.12754631,4.02377747,24.0,2021,20,2
107.8940964,-8.117503166,3.95043205,21.0,2021,20,2
108.4521332,-8.540113449,3.935107332,3.0,2021,22,11
107.9163055,-8.602646828,4.183508866,10.0,2021,22,-1
107.755043,-8.354780197,3.652615046,10.0,2021,22,2
108.4990616,-8.449339867,3.583732986,18.0,2021,22,11
106.116745,-7.703887463,3.584209655,10.0,2021,1,4
106.156456,-7.591647148,3.784825018,29.0,2021,1,-1
112.4644012,-8.891327858,3.940797979,30.0,2021,3,9
111.7837677,-8.993662834,4.042417032,10.0,2021,7,-1
107.884201,-8.291751862,3.937110844,15.0,2021,20,2
107.509819,-7.880164623,3.587163207,31.0,2021,8,-1
109.1464996,-8.492753983,3.589325118,11.0,2021,6,3
109.0244522,-8.384127617,3.55090323,29.0,2021,6,14
105.3796692,-7.118086338,3.981960009,10.0,2021,16,1
107.2906799,-7.841394901,4.091969055,25.0,2021,8,5
108.6660004,-7.226395607,3.891057979,10.0,2021,23,-1
112.123497,-8.958242416,3.549934186,29.0,2021,3,-1
109.8787155,-8.991114616,3.609837509,10.0,2021,0,13
107.288826,-7.925877571,3.701860845,26.0,2021,8,5
111.4272995,-8.992009163,4.759620573,61.0,2021,7,16
111.4402924,-8.884512901,3.815404524,10.0,2021,7,16
110.1141052,-8.884056091,3.884433317,10.0,2021,0,-1
109.6097412,-8.423312187,3.542724083,41.0,2021,17,-1
111.4451904,-8.911027908,3.727707705,10.0,2021,7,16
105.9722977,-7.525609016,3.629992099,10.0,2021,1,4
107.2618713,-7.838213444,4.148318607,27.0,2021,8,5
107.2617798,-7.873494625,4.083179173,25.0,2021,8,5
107.2767029,-7.854103565,4.080263663,23.0,2021,8,5
111.3002777,-8.841462135,3.722321877,10.0,2021,7,16
109.0064316,-8.330057144,4.883010256,66.0,2021,6,14
109.8677139,-8.954965591,4.525294763,10.0,2021,0,13
106.1158371,-7.438951015,3.661285641,33.0,2021,1,4
107.600914,-8.34720993,4.4451932,10.0,2021,2,28
107.6023026,-8.279571533,4.728380838,10.0,2021,2,18
113.188118,-7.381753922,6.469040206,10.0,2021,18,-1
106.4990311,-7.804138184,3.593376867,10.0,2021,11,7
108.4574814,-8.446512222,3.62668457,11.0,2021,22,11
113.0278778,-8.952731133,3.641298355,20.0,2021,3,27
111.2523575,-8.966389656,3.58154999,10.0,2021,7,16
106.1447296,-7.358799458,3.773896208,28.0,2021,9,4
107.2024078,-8.096387863,3.601467829,12.0,2021,2,8
107.9063721,-8.149875641,4.411983751,16.0,2021,20,2
105.513176,-7.110857487,4.093269662,10.0,2021,16,1
106.5947647,-7.700850487,3.602073311,20.0,2021,11,7
111.618042,-6.155764103,5.508127344,10.0,2021,4,-1
108.9429092,-8.413739204,3.647875038,20.0,2021,6,14
