,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,area,cluster1_5
181,2015.0,2,6.0,-7.58569622,106.5180435,27.0,4.109748487,Morning,Light,Shallow,2,0
182,2015.0,2,6.0,-8.107726097,113.9525299,11.0,2.488325373,Afternoon,Micro,Shallow,0,3
183,2015.0,2,6.0,-8.5063591,107.2914276,10.0,4.296678387,Evening,Light,Shallow,3,0
184,2015.0,2,6.0,-8.448558807,109.2452774,10.0,3.886535992,Morning,Minor,Shallow,3,0
185,2015.0,2,6.0,-8.215315819,107.3806686,10.0,4.354076177,Dawn,Light,Shallow,3,4
186,2015.0,2,6.0,-8.911349297,108.5154953,10.0,3.705855613,Afternoon,Minor,Shallow,3,4
187,2015.0,2,6.0,-8.439750671,108.7237778,78.0,3.638759491,Night,Minor,Intermediate,3,0
188,2015.0,2,6.0,-8.785932541,110.5439301,20.0,3.830072664,Evening,Minor,Shallow,0,2
189,2015.0,2,6.0,-7.612822056,107.2205658,10.0,3.110838849,Morning,Minor,Shallow,2,0
190,2015.0,2,6.0,-7.613978386,106.6908188,24.0,3.75264768,Evening,Minor,Shallow,2,0
191,2015.0,2,6.0,-7.751314163,105.8553619,35.0,3.315609722,Dawn,Minor,Shallow,2,4
192,2015.0,2,6.0,-7.237055302,106.6312943,87.0,3.053178482,Dawn,Minor,Intermediate,2,1
193,2015.0,2,6.0,-7.315886021,105.1159439,25.0,4.674220426,Afternoon,Light,Shallow,2,4
194,2015.0,2,6.0,-8.246182442,107.6142807,10.0,4.139515964,Afternoon,Light,Shallow,3,4
195,2015.0,2,6.0,-8.74889946,111.4625702,29.0,2.472805296,Afternoon,Micro,Shallow,0,3
196,2015.0,2,6.0,-8.217315674,107.1562805,10.0,3.07707287,Dawn,Minor,Shallow,3,4
197,2015.0,2,6.0,-8.255594254,107.1417999,15.0,2.840363976,Dawn,Micro,Shallow,3,4
198,2015.0,2,6.0,-8.254318237,108.2283173,12.0,4.695578853,Evening,Light,Shallow,3,0
199,2015.0,2,6.0,-7.646216393,111.7278595,10.0,3.1311742854999998,Dawn,Great,Shallow,0,3
200,2015.0,2,6.0,-8.582368851,108.9817963,10.0,3.475240472,Dawn,Minor,Shallow,3,4
201,2015.0,2,6.0,-7.812180996,107.3049088,21.0,3.003374004,Dawn,Minor,Shallow,3,4
202,2015.0,2,6.0,-8.985844612,111.234375,10.0,4.076307994,Evening,Light,Shallow,0,2
203,2015.0,2,6.0,-8.914541245,111.1943054,16.0,4.095581897,Evening,Light,Shallow,0,2
204,2015.0,2,6.0,-6.794238091,106.4518127,27.0,2.710950853,Evening,Micro,Shallow,1,2
205,2015.0,2,6.0,-6.788421154,108.4118271,10.0,3.155411139,Evening,Minor,Shallow,1,2
206,2015.0,3,7.0,-7.233581543,107.3485565,10.0,2.808745144,Evening,Micro,Shallow,1,2
207,2015.0,3,7.0,-8.322012901,107.382019,17.0,4.721318765,Dawn,Light,Shallow,3,4
208,2015.0,3,7.0,-6.846073151,107.9973526,10.0,3.581266351,Night,Minor,Shallow,1,2
209,2015.0,3,7.0,-8.524217606,113.9540405,166.0,4.636455811,Morning,Light,Intermediate,0,1
210,2015.0,3,7.0,-8.705310822,108.9686584,77.0,3.299144673,Evening,Minor,Intermediate,3,0
211,2015.0,3,7.0,-7.848014355,106.8730316,11.0,3.087600363,Morning,Minor,Shallow,2,0
212,2015.0,3,7.0,-8.975541115,112.4569397,29.0,4.244168419,Evening,Light,Shallow,0,2
213,2015.0,3,7.0,-7.808035374,106.8879852,23.0,2.817561169,Evening,Micro,Shallow,2,0
214,2015.0,3,7.0,-8.765389442,110.0491638,23.0,3.449008631,Night,Minor,Shallow,0,2
215,2015.0,3,7.0,-7.493237019,106.3153763,14.0,3.325713933,Afternoon,Minor,Shallow,2,4
216,2015.0,3,7.0,-7.778263092,108.0511856,89.0,3.352692121,Evening,Minor,Intermediate,3,0
217,2015.0,3,7.0,-8.246015549,107.8537598,16.0,3.651607141,Evening,Minor,Shallow,3,0
218,2015.0,3,7.0,-8.540915489,109.7835922,11.0,2.940934484,Evening,Micro,Shallow,0,2
219,2015.0,3,7.0,-8.170951843,107.9378433,14.0,4.152740061,Evening,Light,Shallow,3,0
220,2015.0,3,7.0,-8.21466732,109.0011292,85.0,3.0203308743333337,Evening,Great,Intermediate,3,0
221,2015.0,3,7.0,-8.768526077,109.9427032,11.0,3.090985102,Evening,Minor,Shallow,0,2
222,2015.0,3,7.0,-8.926724434,112.4126511,37.0,3.829731889,Afternoon,Minor,Shallow,0,3
223,2015.0,3,7.0,-8.211294174,107.095108,10.0,3.158172628,Evening,Minor,Shallow,3,0
